ProductID,FullDescription,Video60SecScript,KeyFeature1,KeyFeature2,KeyFeature3,TargetUsers,CustomerQuote,CommonUseCase,IntegrationsWith,StillNeeded
barbour-comp,"Regulatory Intelligence is an EHS compliance platform providing legislation, guidance, standards, and trade publications in one place. Users get instant access to up-to-date legislation from the HSE, Environment Agency, and other government bodies, alongside British and Irish standards. The platform includes ready-made templates, toolbox talks, videos, briefings, factsheets, model policies, training tools, risk assessments, ISO gap analysis tools (14001, 45001, 45003, 50001), case law, and weekly news updates. It also features a legal register builder, horizon scanning, legislation summaries, and Barbour guides. Modular subscriptions allow focus on topics such as Health & Safety, Environment & Energy, Fire, Property, International Service, and Mental Health & Wellbeing, with bookmarkable documents and email alerts for regulatory changes.","Regulations are complex and changing daily. Barbour gives you legislation as it stands TODAY - all amendments rolled in - plus expert interpretation in plain English. Since 1957, we've been the trusted source for EHS compliance. Instead of hours researching, you get instant authoritative answers.","Comprehensive document library with regional legislation, official guidance, British and Irish standards, and trade association publications, all filterable to your specific needs","Ready-to-use compliance tools including customizable templates, toolbox talks, model policies, risk assessments, and training materials","Legal register facility with templates covering regional legislation by topic, custom register builder, importance tagging, and automated alerts when legislation changes",Property managers; Facilities managers; Health & safety managers; Environmental managers; Compliance officers; Risk managers; Operations directors; EHS coordinators; Sustainability managers; Legal teams,"Barbour has streamlined this process by translating complex legal requirements into accessible, practical resources, saving the project team valuable time and resources. - Inch Cape","Organizations needing centralized access to EHS legislation and guidance; Companies requiring ready-made compliance tools and templates; Businesses seeking ISO certification support (14001, 45001, 45003, 50001); Multi-site operations needing consistent compliance standards; Companies wanting to stay ahead of regulatory changes with horizon scanning; Organizations requiring audit-ready legal registers",Barbour Consolidated Legislation; Barbour Consultancy; Barbour eLearning; Astute LMS (can host Barbour eLearning); Vantify (operational implementation); IMSM (ISO preparation); Corestream (obligation tracking),"Pricing tiers by organization size, User limits"
barbour-elearn,"EHS eLearning provides EHS-specific training courses covering health, safety, and environmental topics. Complements Barbour's regulatory intelligence with training delivery.","Turn Barbour's EHS intelligence into workforce competency. Our eLearning courses cover all major EHS topics, transforming regulatory requirements into engaging training. Knowledge plus training equals compliance.",EHS-focused course library,Aligned with Barbour guidance,Regulatory compliance topics,,,Organizations using Barbour intelligence needing training delivery,"Barbour Regulatory Intelligence, VinciWorks (comprehensive training library)","Course pricing, Bundled vs separate"
barbour-consolidated,"Barbour Consolidated Legislation provides up-to-date safety, environmental, and planning laws for the UK, Ireland, and EU, with all amendments combined into single, easy-to-use documents. Unlike other providers, Barbour is the only service that consolidates EHS legislation this way, so you don’t have to piece together hundreds of updates. All changes are clearly highlighted, showing what changed and why. The service translates complex legalese into plain English and provides different levels of information beyond just a legislation library. Pre-made lists of key legislation help companies quickly identify core requirements for their legal registers.",,"Plain-English summaries, legislation overviews, and pre-made lists for core legal requirements","Real-time updates and alerts including highlighted changes, horizon scanning, and monthly update emails",Access to a legal helpdesk staffed by real professionals for expert support,Legal teams; Compliance officers; Health & safety managers; Environmental managers; Risk managers; Operations directors; In-house counsel; Regulatory affairs managers,,Businesses wanting to stay ahead of regulatory changes; Legal teams needing consolidated view of legislation; Compliance officers building legal registers; Organizations seeking expert guidance on legislation interpretation,Barbour Regulatory Intelligence; Barbour Consultancy; Barbour eLearning,
barbour-consultancy,"Barbour Consultancy Services offer expert support for creating and maintaining compliance registers. Specialist consultants work directly with clients to build tailored registers, handling everything from identifying applicable legislation to incorporating amendments. All deliverables are white-labeled, include definitions and transparent methodology, and support ISO alignment for audits.",,"Bespoke legal registers custom-built by specialist consultants tailored to specific business needs, with links to legislation, summaries, and guidance in Barbour library","Bespoke aspects and impacts (A&I) registers with foolproof risk rating matrix, high-severity aspect prioritization, and seamless integration with environmental legal registers","Managed updates service providing year-round register maintenance, legislative change explanations, compliance severity assessments, and ISO accreditation alignment",Compliance officers; Environmental managers; Health & safety managers; Risk managers; ISO coordinators; Quality managers; Operations directors; Legal teams; Organizations preparing for certification audits,,"Businesses with complex multi-jurisdictional compliance needs; Companies seeking ISO 14001 or 45001 certification requiring A&I registers; Organizations wanting consultant-built registers with ongoing maintenance; Companies preparing for audits requiring defensible, white-labeled registers; Businesses lacking in-house expertise to identify applicable legislation",Barbour Regulatory Intelligence; Barbour Consolidated Legislation,
corestream-platform,"CoreStream GRC is a flexible, no-code platform for Governance, Risk, and Compliance. It allows organizations to build exactly what they need using a simple, menu-based approach, then scale as requirements change. You can start with a single solution (such as Policy Management or Enterprise Risk) or expand to a full GRC suite across the organization. Its intuitive interface uses your business language, so users see value from day one. Organizations also benefit from global GRC expertise and proven configurations shared through the CoreStream community, saving time and cost while ensuring solutions evolve with business needs.",,"No-code, menu-driven configuration enabling rapid customization without IT dependency or hard-coded limitations, with community-driven templates and best practices from global organizations saving time and development costs","Offers modular approach allowing single solution (Policy, Risk, TPRM, Audit) or full GRC package deployment","Global data hosting (Europe, UK, USA, Middle East) with cloud and on-premises options ensuring regional compliance, security, and performance control, with new regions deployed within one month",Chief Risk Officers; Heads of Risk; Compliance officers; Governance managers; Data protection officers; Internal audit teams; GRC managers; IT risk managers; Policy managers; Operations directors; Legal counsel; Information security managers,,"Businesses needing multi-module GRC platform covering risk, compliance, and governance in one place; Multi-national companies needing regional data hosting (Europe, UK, USA, Middle East) for compliance and performance; Companies requiring seamless integrations with existing enterprise systems; Organizations wanting community-driven best practices from global network",Enterprise Systems: SAP; SAP SuccessFactors; Workday; ServiceNow; Ariba; Coupa; GEP; Collaboration Tools: Sharepoint; OneDrive; Microsoft 365; DocuSign; Google Translate; Risk Data Providers: LexisNexis; Dun & Bradstreet; Dow Jones; Neotas; Exiger; Threat.Digital; OpenPayments; Cyber Risk: SecurityScorecard; BitSight,
worknest-emplaw,"WorkNest Employment Law Advisory Service provides fixed-fee legal support from 65+ qualified employment law solicitors. Clients get unlimited 24/7 access to practical, commercial advice on all people-related issues, from everyday queries to complex tribunal cases. The service includes drafting employment documents, tribunal representation with legal expenses insurance, and proactive support to prevent issues escalating. Each client is supported by a named adviser who understands their business, ensuring consistent, trusted advice. Support is delivered through the myWorkNest portal, giving 24/7 access to resources, templates, case tracking, and adviser communication.","Employment law shouldn't mean surprise legal bills. WorkNest gives you unlimited access to 65+ employment lawyers for a fixed monthly fee. Disciplinaries, redundancies, contracts, tribunals - we handle it all. 97% client retention rate speaks for itself. Fixed-fee certainty, unlimited support.",65+ qualified employment law solicitors providing unlimited 24/7 fixed-fee advice,"Comprehensive document drafting including contracts, handbooks, policies, settlement agreements, plus tribunal representation with included legal expenses insurance","Named dedicated adviser team ensuring consistent, business-specific advice through deep understanding of your organization, accessible via myWorkNest portal 24/7",HR Directors; Managing Directors; Business Owners; Operations Directors; HR Managers; People & Culture teams; SME leadership teams; In-house legal counsel; Compliance officers,"We moved our legal support to WorkNest having previously used a time and line law firm. It was important that an all-inclusive fee structure did not come at the expense of quality. Thankfully we've been delighted with the service. - Debbie Rainbow, Bluestone Resort",SMEs needing proactive employment law support without expensive law firm retainers; Companies facing tribunal claims requiring representation with legal expenses insurance; Organizations needing employment contract templates and handbook development; Businesses requiring TUPE transfer support; Companies managing redundancy or restructuring programs; Employers needing settlement agreement drafting; Organizations seeking to prevent employment law issues through proactive advice,myWorkNest Portal; WorkNest HR Service; WorkNest H&S Service; WorkNest Training Programs; VinciWorks eLearning,"Pricing tiers by company size, Service levels, Response time SLAs"
worknest-hr,"WorkNest HR Consultancy Service provides outsourced HR support from 50+ CIPD-qualified professionals, giving organisations access to expert HR support without building an internal team. The service includes unlimited advice on employee relations, policy development, and workforce planning. Clients are assigned named HR consultants who act as an extension of their team, delivering personalised, industry-relevant support. Enhanced packages include PeopleNest, an all-in-one HR platform for managing employee data, rotas, leave, performance, and compliance.",HR challenges shouldn't overwhelm you. WorkNest's 50+ CIPD-qualified HR professionals provide expert support - from employee relations to complex restructuring. Fixed-fee approach means budget certainty. Think of us as your extended HR team.,"50+ CIPD-qualified HR consultants providing unlimited fixed-fee advice with named dedicated team approach ensuring personalized, industry-specific support","PeopleNest Software all-in-one HR platform included in enhanced packages, replacing spreadsheets with intelligent automation for employee data, leave, rotas, performance management","Comprehensive HR support from daily employee relations advice to complex strategic projects including restructuring, TUPE, change management, and culture transformation",HR Directors; Managing Directors; Business Owners; Operations Directors; HR Managers; People & Culture leaders; SMEs without full HR teams; Enterprises supplementing internal HR; Finance directors seeking budget certainty,,"SMEs needing HR expertise without hiring full internal HR team; Companies managing complex employee relations issues (disciplinary, grievance, capability); Organizations undergoing restructuring, redundancy, or TUPE transfers; Businesses requiring policy development aligned to best practices; Companies seeking strategic workforce planning and talent management; Enterprises needing PeopleNest software to replace spreadsheets and manual HR processes; Organizations requiring change management and culture transformation support",myWorkNest Portal; WorkNest Employment Law Advisory Service; WorkNest Training Programs; VinciWorks eLearning; WorkNest H&S Service,"Pricing tiers, Service levels, Capacity planning"
worknest-hs,"WorkNest Health & Safety Service provides hands-on compliance support from 40+ qualified H&S consultants, helping organisations meet legal obligations and create safer workplaces. Clients receive unlimited advice line support, including 24/7 emergency assistance for critical incidents. The service covers risk assessments aligned to HSE guidance, safety audits, policy creation, and ongoing compliance monitoring.","H&S compliance shouldn't keep you awake. WorkNest's 40+ qualified H&S consultants provide expert support 24/7. From risk assessments to audit prep - we're your H&S team. Fixed-fee certainty, unlimited advice.","Comprehensive H&S management from risk assessments and audits to IOSH-approved training, incident investigation, and safety culture transformation programs","SafetyNest Software included (free first year) with 150+ question risk assessment, compliance tracking, inspection-ready documentation, and intuitive dashboards","40+ qualified H&S consultants providing unlimited advice line with 24/7 emergency support, ensuring immediate expert guidance for critical incidents",Health & Safety Managers; Operations Directors; Facilities Managers; Managing Directors; Business Owners; Site Managers; Compliance officers; Construction managers; Manufacturing operations teams,"Had our HSE spot inspection this morning. Passed with flying colours, he was really impressed. Thank you for your help and support, we couldn't have got this response without you. - Client testimonial",Organizations needing H&S expertise without full internal H&S team; Companies requiring comprehensive risk assessments aligned to HSE guidance; Businesses needing 24/7 emergency H&S support for critical incidents; Organizations seeking to digitize H&S management; Companies requiring safety audits and gap analysis; Construction firms needing CDM compliance support; Manufacturers seeking accident investigation expertise; Organizations wanting IOSH training for workforce; Companies building positive safety culture,myWorkNest Portal; WorkNest Employment Law Advisory Service; WorkNest HR Service; WorkNest Training Programs; Barbour EHS Regulatory Intelligence; Vantify H&S software,"Pricing tiers, Service levels, On-site visit pricing"
imsm-quality,"Quality & Operational Efficiency Certification is a hands-on consultancy service for achieving ISO 9001, ISO 13485, AS 9100, ISO 22000, and ISO 50001, supporting quality management, sector-specific compliance, food safety, and energy efficiency. The service covers gap analysis, practical implementation aligned to real operations, documentation creation (policies, procedures, work instructions), and full audit readiness. All documentation and evidence are managed in the IMSMLoop platform, providing clear compliance tracking and inspection-ready audit trails. This service supports a wide range of use cases—from medical device and aerospace suppliers to food manufacturers and energy-intensive organisations.",,"Gap analysis and implementation support across quality management (ISO 9001), medical devices (ISO 13485), aerospace (AS 9100), food safety (ISO 22000), and energy management (ISO 50001) with sector-specific expertise","Complete documentation creation including quality manuals, procedures, work instructions, and process maps aligned to actual operations rather than generic templates, managed through IMSMLoop platform","Multi-sector certification support for diverse industries including FDA-compliant medical device manufacturers, Boeing/Airbus aerospace suppliers, HACCP-aligned food processors, and energy-intensive operations",Quality Managers; Operations Directors; Manufacturing Directors; Food Safety Managers; Energy Managers; Compliance officers; Managing Directors; COOs; Process improvement teams; Aerospace suppliers; Medical device manufacturers,,Manufacturing companies; Medical device manufacturers; Aerospace suppliers; Food manufacturers; Energy-intensive companies seeking to reduce costs and demonstrate sustainability; Organizations seeking quality management system to improve processes and reduce defects; Companies requiring ISO certification for RFP responses; Businesses differentiating from competitors through certified quality systems; Organizations preparing for major client audits,"Bulletproof DPO Services; Bulletproof Managed SIEM; GuardNest (penetration testing); CoreStream GRC; WorkNest employment law, HR, H&S; Vantify H&S management",
imsm-security,"Information Security & Resilience Certification is a specialist consultancy service for achieving ISO 27001, ISO 27701, ISO 22301, ISO 20000, and ISO 42001, covering information security, privacy management, business continuity, IT service management, and AI governance. The service covers gap analysis against control frameworks, risk assessment and treatment planning, policy and procedure documentation, Statement of Applicability (SoA) development, and full certification readiness. All ISMS documentation, risk registers, and audit evidence are managed in the IMSMLoop platform, providing structured compliance tracking and audit preparation. This service supports organisations requiring security certifications for enterprise clients, cyber insurance, regulatory compliance, and responsible AI governance.",,"Gap analysis against ISO 27001's 114 Annex A controls, ISO 20000 ITIL alignment, and ISO 42001 AI governance requirements with tailored risk assessment and treatment planning","Complete ISMS implementation including policies, procedures, Statement of Applicability, risk registers, and internal audit preparation managed through IMSMLoop platform","Multi-standard certification support covering information security (ISO 27001), privacy (ISO 27701), business continuity (ISO 22301), IT service management (ISO 20000), and AI systems (ISO 42001)",CISOs; Information Security Managers; Risk Managers; Compliance officers; IT Directors; Data Protection Officers; Business Continuity Managers; IT Service Managers; AI/ML leaders; Quality Managers; CTOs,,Technology companies; SaaS providers demonstrating security to customers; Financial services meeting regulatory requirements; Healthcare organizations protecting patient data; Organizations requiring cyber insurance; Companies seeking privacy management beyond GDPR; Businesses needing business continuity and disaster recovery; Companies needing ISO 42001 for responsible AI governance; Organizations replacing expensive security consultancies; Companies preparing for client security audits,"Bulletproof DPO Services; Bulletproof Managed SIEM; GuardNest (penetration testing); CoreStream GRC; WorkNest employment law, HR, H&S",
imsm-sustainability,"Health, Safety & Environmental Certification is a practical consultancy service for achieving ISO 45001, ISO 14001, and ISO 45003, covering occupational health & safety, environmental management, and psychological health & wellbeing at work. The service covers hazard identification and risk assessment, legal compliance verification, environmental aspects and impacts assessment, policy and procedure development, and full audit preparation. All risk registers, compliance evidence, and audit documentation are managed in the IMSMLoop platform, providing inspection-ready compliance tracking. This service supports organisations in regulated industries, construction and manufacturing operations, and companies addressing workplace mental health and environmental sustainability.",,"Comprehensive risk and hazard identification with legal compliance verification against Health & Safety at Work Act, HSE requirements, and environmental regulations","Dual focus on physical safety (ISO 45001) and psychological wellbeing (ISO 45003), addressing workplace mental health, psychosocial risks, stress, and burnout alongside traditional H&S","Environmental management implementation (ISO 14001) covering environmental aspects, pollution prevention, resource efficiency, and sustainability credentials for regulated industries",Health & Safety Managers; Environmental Managers; Sustainability officers; Operations Directors; Facilities Managers; Wellbeing officers; HR Directors; Compliance officers; Manufacturing Directors; HSE teams; Occupational Health teams,,Organizations reducing workplace risks and H&S incidents; Manufacturing companies demonstrating environmental compliance; Construction firms demonstrating H&S management; Chemical and oil & gas companies meeting regulatory requirements; Organizations seeking sustainability credentials for clients and tenders; Companies addressing workplace mental health and wellbeing; Businesses requiring ISO certification for supply chain participation; Organizations preparing for HSE inspections and audits; Companies wanting to demonstrate duty of care for employee mental health,"WorkNest Health & Safety Service; Barbour EHS Regulatory Intelligence; Vantify H&S management; CoreStream GRC; WorkNest employment law, HR; VinciWorks eLearning (mental health training)",
