Abbreviation,Full Name,Category,Notes
CAFM,Computer-Aided Facilities Management,Facilities & Asset Management,
CMMS,Computerised Maintenance Management System,Facilities & Asset Management,
FM,Facilities Management,Facilities & Asset Management,
PPM,Planned Preventive Maintenance,Facilities & Asset Management,
LMS,Learning Management System,Learning & Development,
LXP,Learning Experience Platform,Learning & Development,
SCORM,Sharable Content Object Reference Model,Learning & Development,
CPA,Certified Public Accountant,Financial & Professional Services,
DSS,Data Security Standard,Financial & Professional Services,
POA,Price On Application,Financial & Professional Services,
